Timestamp,Room,Total Energy (W),Total ON Time (s)
2025-01-16 18:01:34,Bedroom,0.6022597789764405,6.022597789764404
2025-01-16 18:01:34,Bathroom,0.9010949850082397,9.010949850082397
2025-01-16 18:01:34,Kitchen,0.40043168067932133,4.004316806793213
2025-01-16 18:01:34,LivingRoom,0.4002190351486206,4.002190351486206
2025-01-16 18:01:34,DiningRoom,0.4015702247619629,4.015702247619629
2025-01-16 18:03:27,Bedroom,0.9017373561859131,9.01737356185913
2025-01-16 18:03:27,Bathroom,0.40213119983673096,4.02131199836731
2025-01-16 18:03:27,Kitchen,0.9021282434463501,9.021282434463501
2025-01-16 18:03:27,LivingRoom,0.2005575180053711,2.005575180053711
2025-01-16 18:44:26,Bedroom,0.5942384243011475,5.942384243011475
2025-01-16 18:44:26,Bathroom,0.7014778852462769,7.0147788524627686
2025-01-16 18:44:26,Kitchen,0.8015992164611816,8.015992164611816
2025-01-16 18:44:26,LivingRoom,0.4002842426300049,4.002842426300049
2025-01-16 18:46:25,Bedroom,0.7960315227508544,7.960315227508545
2025-01-16 18:46:25,Bathroom,0.7032073259353638,7.032073259353638
2025-01-16 18:46:25,Kitchen,0.20021469593048097,2.0021469593048096
2025-01-16 18:46:25,LivingRoom,1.0019781589508057,10.019781589508057
2025-01-16 18:46:25,DiningRoom,0.20061862468719482,2.0061862468719482
2025-01-16 18:50:20,Bedroom,0.7978390216827393,7.978390216827393
2025-01-16 18:50:20,Bathroom,0.7028254270553589,7.028254270553589
2025-01-16 18:50:20,Kitchen,0.90174400806427,9.0174400806427
2025-01-16 18:50:20,LivingRoom,0.5017929553985596,5.017929553985596
2025-01-16 18:50:50,Bedroom,1.3986900806427003,13.986900806427002
2025-01-16 18:50:50,Bathroom,1.406350016593933,14.063500165939331
2025-01-16 18:50:50,Kitchen,1.9042142629623415,19.042142629623413
2025-01-16 18:50:50,LivingRoom,1.2032267332077027,12.032267332077026
2025-01-16 18:51:20,Bedroom,2.300061631202698,23.000616312026978
2025-01-16 18:51:20,Bathroom,2.2087932109832766,22.087932109832764
2025-01-16 18:51:20,Kitchen,2.4051223516464235,24.051223516464233
2025-01-16 18:51:20,LivingRoom,1.9050464153289797,19.050464153289795
2025-01-16 18:53:52,Bedroom,1.1961268186569214,11.961268186569214
2025-01-16 18:53:52,Bathroom,0.8008426427841187,8.008426427841187
2025-01-16 18:53:52,Kitchen,0.301639986038208,3.01639986038208
2025-01-16 18:53:52,LivingRoom,0.20096359252929688,2.0096359252929688
2025-01-16 18:53:52,DiningRoom,0.40041704177856446,4.0041704177856445
2025-01-16 18:54:22,Bedroom,1.7990763902664184,17.990763902664185
2025-01-16 18:54:22,Bathroom,1.7020867824554444,17.020867824554443
2025-01-16 18:54:22,Kitchen,0.301639986038208,3.01639986038208
2025-01-16 18:54:22,LivingRoom,0.8042101383209229,8.042101383209229
2025-01-16 18:54:22,DiningRoom,1.1013797760009765,11.013797760009766
2025-01-16 19:11:49,Bedroom,0.7962916612625122,7.962916612625122
2025-01-16 19:11:49,DiningRoom,0.5011260986328125,5.011260986328125
2025-01-16 19:11:49,Bathroom,0.6022452116012573,6.022452116012573
2025-01-16 19:11:49,LivingRoom,0.8018335580825806,8.018335580825806
2025-01-16 19:14:36,Bedroom,0.6961458206176758,6.961458206176758
2025-01-16 19:14:36,Bathroom,0.4010455846786499,4.010455846786499
2025-01-16 19:14:36,Kitchen,0.20145812034606936,2.0145812034606934
2025-01-16 19:14:36,LivingRoom,1.2027675628662111,12.02767562866211
2025-01-16 19:14:36,DiningRoom,0.2001427412033081,2.001427412033081
2025-01-16 20:09:30,Bedroom,0.8953119754791261,8.95311975479126
2025-01-16 20:09:30,Bathroom,0.7012310266494751,7.012310266494751
2025-01-16 20:09:30,Kitchen,0.6010321617126465,6.010321617126465
2025-01-16 20:09:30,LivingRoom,0.3006709814071655,3.0067098140716553
2025-01-16 20:35:56,Bedroom,1.1027531385421754,11.027531385421753
2025-01-16 20:35:56,Bathroom,0.7012988567352295,7.012988567352295
2025-01-16 20:35:56,Kitchen,0.5001353263854981,5.0013532638549805
2025-01-16 20:35:56,LivingRoom,0.20100407600402834,2.010040760040283
2025-01-16 20:35:56,DiningRoom,0.3003733158111572,3.0037331581115723
2025-01-16 20:36:26,Bedroom,1.6047795295715332,16.047795295715332
2025-01-16 20:36:26,Bathroom,1.4046086311340331,14.046086311340332
2025-01-16 20:36:26,Kitchen,0.5001353263854981,5.0013532638549805
2025-01-16 20:36:26,LivingRoom,0.7031506538391115,7.031506538391113
2025-01-16 20:36:26,DiningRoom,1.1023405075073243,11.023405075073242
2025-01-16 20:36:26,Hallway,0.30040452480316165,3.004045248031616
2025-01-16 20:36:56,Bedroom,2.3065718173980714,23.065718173980713
2025-01-16 20:36:56,Bathroom,2.806397104263306,28.063971042633057
2025-01-16 20:36:56,Kitchen,1.2029901504516602,12.029901504516602
2025-01-16 20:36:56,LivingRoom,1.1054709672927858,11.054709672927856
